CODE;DESCRIPTION
"EV001375";"Test receiver"
"EV001376";"Level tester"
"EV001377";"LCD/monitor"
"EV001378";"LED/LCD/analogue"
"EV001381";"Chromated"
"EV001383";"Quick-lock"
"EV001385";"Group distributor cabinet"
"EV001386";"Distributor cabinet"
"EV001391";"For cast-in-place concrete"
"EV001392";"For slab ceiling"
"EV001394";"Surface mounted lamp holder"
"EV001395";"Through-feed lamp holder"
"EV001396";"Covering cap"
"EV001398";"Mounting kit"
"EV001399";"Universal anchor plug"
"EV001409";"G3/8 A"
"EV001412";"Cylinder"
"EV001421";"N"
"EV001426";"Trolley"
"EV001429";"Round/flat conductor"
"EV001430";"Impact head"
"EV001431";"Impact pin"
"EV001432";"Malleable cast iron"
"EV001433";"Earthing lug"
"EV001434";"Equipped with connection lug"
"EV001435";"With steel strip"
"EV001436";"With tappet/bore hole"
"EV001442";"GU10"
"EV001443";"D-Sub, parallel 25-pole"
"EV001444";"Earth rod"
"EV001452";"HP open View/Unix"
"EV001473";"Crimp technology"
"EV001475";"In line power supply"
"EV001478";"Handle"
"EV001479";"Telephone/fax/modem switch"
"EV001480";"Front ring"
"EV001481";"Tinned"
"EV001483";"Petrolatum"
"EV001485";"Self-adhesive"
"EV001486";"Sandwich cable guide"
"EV001490";"Card telephone"
"EV001494";"G10q"
"EV001495";"2G13"
"EV001496";"W4.3"
"EV001497";"Fa6"
"EV001498";"With grip clamp"
"EV001499";"With screw clamp"
"EV001506";"Flat roof"
"EV001514";"Round conductor"
"EV001522";"T-/cross-/parallel connector"
"EV001523";"Parallel connector"
"EV001524";"Sleeve connection"
"EV001526";"Clamp screw"
"EV001527";"Hexagon screw"
"EV001528";"Flat round screw"
"EV001529";"Transistor"
"EV001530";"LCD/acoustic"
"EV001531";"With snap clamp"
"EV001535";"Yellow/black"
"EV001543";"G5.3-4.8"
"EV001546";"GX6.35"
"EV001549";"Integrated"
"EV001550";"Extendable"
"EV001552";"RS-232"
"EV001555";"ISA"
"EV001556";"PCI"
"EV001557";"PCMCIA"
"EV001560";"Turquoise"
"EV001561";"Equipped with closing and clamps"
"EV001562";"GZ6.35"
"EV001563";"Socket outlet with protective contact (SCHUKO)"
"EV001572";"Freestanding-/wall model"
"EV001580";"Assembly aid"
"EV001582";"Measuring instruments"
"EV001583";"Electrical modules"
"EV001584";"Electronics/mechanics"
"EV001585";"0/14/18 V"
"EV001587";"Carton (box)"
"EV001588";"MSV4"
"EV001592";"SAT IF amplifier"
"EV001593";"Plasterboard plug"
"EV001598";"Fireproof partition box"
"EV001602";"CEE devices 70 mm mounting distance"
"EV001604";"7"
"EV001607";"Long-slot"
"EV001608";"Polypropylene (PP)"
"EV001609";"IR sensor"
"EV001610";"Multi-sensor"
"EV001618";"Free standing ventilator"
"EV001619";"Table fan"
"EV001620";"Flat conductor"
"EV001621";"Clamp connector"
"EV001622";"Double clamp screw"
